Módulos,Etapa,Funcionalidad,,Acción,✅ Incluye,❌ No incluye,Adicionales,"Trazabilidad
(MR / VP / BOS)","Objetivo estratégico
que soporta","Resultado visible
para el usuario","Definición funcional
detallada","Cómo debe mostrarse
(UX/UI)","Criterio de aceptación
MVP / QA","Guardrails de alcance
y relato",Actividades Leonardo,Actividades Miguel,Estimacion Tiempos
,,,,Definir presupuesto mensual por categoría,,,,VP P4 | BOS 9 Uso,Instalar la disciplina mínima del mes real sin pedir un presupuesto en hoja en blanco.,"Revisa la meta sugerida por categoría y ajusta, si quiere, el valor objetivo con el que la app controlará gasto, alertas y recomendaciones.","La app precarga montos sugeridos por categoría base a partir del setup/importación o, si falta data, da valores guía del producto (regla de negocio en relación al ingreso del cliente y buenas prácticas). El usuario no parte desde cero: confirma o ajusta la meta mensual por categoría, y esa meta es el valor contra el que se comparan gasto real, umbrales, semáforo, comparativas y recomendaciones de corrección.","Formulario ligero, editable y entendible, mostrando monto sugerido, meta elegida, porcentaje ya consumido y señal simple del siguiente umbral.","Presupuesto sugerido guardado o ajustado y usado por alertas, comparativas y recomendaciones sobre las categorías definidas.",No exigir histórico perfecto ni pedir llenar una planilla vacía manualmente en V1.,,,
,,,,Visualizar presupuesto por semana/ mes/ año/ meta diaria,,,,MR 7.1 | VP P4 | BOS 9 Uso/continuidad,Permitir lectura corta del mes sin forzar análisis complejo.,"Ve semana, mes, año y meta diaria como vistas de apoyo.",Vistas resumidas del presupuesto con enfoque principal en semana y mes.,Default mensual/semanal; año y meta diaria como secundarias.,Puede alternar vista sin perder claridad del estado actual.,No usar estas vistas para agregar complejidad analítica innecesaria.,,,
7,Pagos,Organización de pagos mensuales,,"Ingresar cuentas por pagar (Monto, fecha vencimiento)","Panel de cuentas por pagar.
Visualización tipo semáforo de estado.
Organización de pagos mensuales.","Webpay o pasarela de pago
Pago automático desde la app.
Débito automático.
",,"MR 7, 8.1 | VP 3.2, 3.3, P2, P5 | BOS 4, 9",Ordenar cuentas por pagar para prevenir atrasos evitables y dar visibilidad operativa del corto plazo.,"El usuario ve qué debe pagar, cuándo vence y qué estado tiene cada cuenta.","Alta manual de cuentas por pagar con monto, fecha de vencimiento, estado y recordatorios configurables. El panel debe servir para controlar obligaciones, no para ejecutar pagos desde la app. La vía base del MVP es manual, pero si ya existen movimientos cargados en la app, el sistema puede sugerir asociación entre un pago real y una cuenta por pagar registrada, y también detectar posibles compromisos recurrentes no registrados por similitud de monto, periodicidad o texto para que el usuario confirme si deben crearse o vincularse. Cualquier exploración futura de API con proveedores puntuales queda fuera de esta definición funcional; el MVP debe diseñarse y validarse completo con este flujo manual más sugerencias basadas en movimientos.","Vista priorizada por vencimiento cercano y estado, con CTA claros para marcar pagado, revisar o vincular un pago detectado/sugerido. Si la app detecta recurrencia probable, debe presentarla como sugerencia clara y confirmable.","Puede crear una cuenta por pagar, verla en el panel, recibir recordatorios según configuración y, cuando aplique, vincular un movimiento detectado o aceptar la creación sugerida de un compromiso recurrente, sin depender de integraciones externas para que el flujo principal funcione.","No agregar pasarela, débito automático ni pago desde la app en esta versión; tampoco convertir una posible API futura en supuesto de diseño, dependencia operativa o alcance implícito del MVP.",,,
,,,,Ver panel de cuentas por pagar ,,,,VP P2 | BOS 9 Complementos,Centralizar visión operativa de obligaciones.,Ve listado ordenado de cuentas pendientes.,"Panel con tarjetas o tabla simple de pagos pendientes, incluyendo cuando corresponda estado de vinculación con movimientos reales o sugerencias pendientes de confirmar.",Primero vencimientos cercanos; estados visibles.,"Panel carga correctamente pagos activos y vencidos/por vencer, y cuando existe detección compatible permite revisar sugerencias sin romper el flujo principal.",No esconder información crítica tras navegación profunda.,,,
,,,,Recordatorios de pago,,,,VP P2 | BOS 9 Uso,Prevenir atrasos evitables.,Recibe recordatorios antes del vencimiento.,"Reglas de recordatorio configurables por fecha cercana y estado, usando los canales aprobados por producto: popup/in-app, push móvil y correo. Los recordatorios de pagos deben convivir con la matriz general de alertas del sistema sin duplicar mensajes innecesarios.","Mensaje breve con monto, fecha e impacto; definir según caso de uso cuándo conviene popup/in-app, cuándo push y cuándo correo.",Notificación o recordatorio visible según preferencia/configuración permitida y con al menos un canal operativo dentro de la matriz default.,No depender de SMS ni de canales no aprobados.,,,
,,,,Visualizar estados (semáforo),,,,"VP P2, P5 | BOS 4 Mensaje / 9 Uso",Hacer entendible el riesgo financiero del corto plazo.,Ve estado verde/amarillo/rojo por pago o situación.,Semáforo aplicado a pagos y estado financiero básico.,Colores consistentes y texto explicativo corto.,Cada cuenta o estado relevante muestra semáforo coherente.,No convertir el semáforo en gimmick emocional sin criterio claro.,,,
8,Asistente IA y soporte,Asistente IA,,Captura de Voz dentro del chat de la IA,"Recomendaciones automáticas basadas en reglas simples.
Chat conversacional por texto.
Captura de voz (speech-to-text) para convertir voz en texto dentro del chat.
Respuesta en formato texto.
Respuestas contextualizadas en base a:
Datos financieros del usuario dentro de la app.
Reglas de negocio predefinidas.
Está limitado al contexto de la aplicación.
Preguntas frecuentes (FAQ) (entrega de preguntas frecuentes)

Las funcionalidades automáticas incluidas en el MVP corresponden a reglas de negocio predefinidas y/o uso acotado de modelo de lenguaje externo.
No se contempla desarrollo de modelos de machine learning propios ni inteligencia artificial predictiva entrenada con datos históricos de usuarios.
","Diseño de personalidad, tono o comportamiento de asistente virtual.
Asistente virtual por video.
Avatar animado o guía interactiva.
Emoticons personalizados dentro de la experiencia financiera.
Reacciones emocionales automáticas según comportamiento financiero.
El asistente entrega información de carácter orientativo y no constituye asesoría financiera profesional certificada

Nota: La experiencia se limita a indicadores visuales tipo semáforo (verde, amarillo, rojo).",,"MR 5.4, 6.1, 9 | VP 3.2, 4.3, 5.1, P3, P5 | BOS 4, 6, 9",Usar la IA como apoyo de captura y orientación práctica dentro de límites claros.,"El usuario puede registrar por voz o texto y obtener ayuda simple sobre deuda, pagos o presupuesto.","Chat de texto con entrada de voz a texto, respuestas apoyadas en reglas de negocio, FAQ y contexto financiero disponible del usuario. La funcionalidad esperada es orientación concreta y accionable dentro del dominio del producto; si el equipo técnico utiliza un motor externo maduro de lenguaje configurado por producto (por ejemplo OpenAI u otro equivalente aprobado), eso debe leerse como decisión de implementación y no como una capacidad adicional del alcance. Puede enriquecerse con material curado o cargado por producto (por ejemplo libros o guías de finanzas personales) para responder mejor dentro del dominio definido. Debe analizar el contexto financiero disponible del usuario y entregar orientación concreta y accionable, explicando la razón de la sugerencia cuando corresponda y apoyándose en las reglas/casos de uso definidos por negocio. No sustituye asesoría profesional ni entrena un modelo propio.","Interfaz sobria, tono práctico y respuestas cortas. Siempre debe quedar claro que la recomendación es orientativa; cuando sea útil, mostrar “por qué te lo sugiero” en una línea ligada al contexto, a la regla aplicada o a la meta afectada.","La consulta funciona dentro de los límites definidos, usando contexto interno disponible y reglas/fuentes cargadas por producto, sin bloquear el flujo principal ni improvisar respuestas fuera del dominio.","No agregar avatar, personalidad compleja, video, consejo financiero certificado ni prometer que el modelo “sabe todo” fuera del dominio del producto. La tecnología elegida para responder no cambia el alcance funcional aprobado.",,,
,,,,Consultar al asistente IA por texto,,,,VP P5 | BOS 9 Uso,Dar un canal simple para pedir ayuda contextual.,Puede preguntar por texto y recibir orientación útil.,Input de chat con intents o FAQ sugeridas; respuesta textual contextual.,"Caja de texto visible, sugerencias de preguntas y respuestas cortas.",Consulta por texto funciona y devuelve orientación basada en reglas/contexto.,No responder fuera del dominio de la app ni improvisar asesoría compleja.,,,
,,,,Recomendaciones inteligentes básicas por pantalla,,,,MR 7.1 | VP P5 | BOS 6 Elevar utilidad,Llevar recomendaciones contextuales a los momentos donde el usuario necesita una acción simple.,"Ve sugerencias útiles en home, presupuesto, deuda y pagos según su situación actual, incluyendo cuándo conviene activar o revisar Bola de Nieve para potenciar capacidad de ahorro.","Motor de reglas por pantalla disparado por metas de categoría, umbrales, semáforo, vencimientos, estado del plan y, cuando aplique, avance de metas globales simples. La función es orientar una siguiente acción concreta dentro del MVP. También debe poder activar recomendaciones proactivas cuando detecte señales de presión financiera, por ejemplo pagos atrasados repetidos, obligaciones que consumen gran parte de la capacidad de pago, baja capacidad de ahorro frente a la meta declarada o movimientos que sugieren deuda no incorporada al plan.","Integrar sugerencias en el layout normal de cada pantalla; deben verse como ayuda contextual y no como banners invasivos. Cuando recomiende Bola de Nieve, debe explicar brevemente qué señal la disparó y cómo eso ayuda a potenciar capacidad de ahorro.","Las recomendaciones cambian según el contexto básico del usuario y remiten a una acción entendible, indicando cuando corresponde qué meta, categoría o señal de presión financiera está siendo afectada.","No convertirlo en un feed genérico de consejos, contenido editorial o venta cruzada.",,,
,,Soporte - FAQ,,Resolver dudas frecuentes,,,,VP P5 | BOS 9 Mantenimiento,Reducir soporte humano repetitivo y dudas de uso.,Encuentra respuestas rápidas a preguntas frecuentes.,Base FAQ estática o semiestática dentro de la app.,Listado searchable o acordeón simple.,Las FAQs cubren dudas core de uso y límites del producto.,No sustituye soporte humano para incidentes críticos.,,,
9,Administración,Perfil adm,,Configuración de gamificaciones y recomendaciones basicas,"Perfil administrador.
Reportes básicos desde la BD (x definir con cliente)
Graficos basicos con información (x definir con cliente)
Visualización de métricas generales de usuarios.","
No hay analitica, IA y machine learning
Dashboard BI avanzado.
Exportación masiva automatizada.
",,"MR 8.2, 9 | VP 4.5, 6.1 | BOS 10 Adopción",Dar gobernanza básica al MVP y soporte a la operación interna del proyecto.,El equipo interno puede ajustar parámetros permitidos y revisar métricas generales del uso del MVP.,"Backoffice mínimo para administración operativa: gestión básica de parámetros de gamificación/recomendaciones y visualización de métricas generales acordadas. Debe servir a operación interna del MVP, no a analítica avanzada.","Interfaz sobria, separada del producto de usuario final y con privilegios bien delimitados.","Un administrador autenticado puede entrar al backoffice, revisar métricas generales y cambiar solo los parámetros permitidos.","No convertirlo en dashboard ejecutivo completo, portal para sponsor ni centro de BI avanzado.",,,
,,,,Crear perfil administrador,,,,VP 6.1 | BOS 10 Adopción,Asegurar gobernanza básica del entorno admin.,Existe acceso diferenciado para operación interna.,Creación y gestión de usuario administrador.,Pantalla separada y protegida; permisos mínimos.,Admin puede iniciar sesión en entorno correspondiente con permisos limitados.,No mezclar cuentas admin con usuario final ni escalar permisos sin diseño.,,,
,,,,Reportes,,,,"MR 8.2, 9 | VP 6.2 | BOS 11 Modelo","Medir activación, uso y operación del MVP para tomar decisiones de producto y piloto.",El equipo interno ve reportes básicos confiables sobre uso y comportamiento general.,"Reportes simples construidos desde la base de datos con indicadores mínimos acordados con cliente, por ejemplo activación, uso básico y métricas generales del MVP. Su función es seguimiento operativo, no analítica corporativa compleja.","Visualizaciones simples y legibles, con foco en responder preguntas del MVP y del piloto.",Los reportes muestran datos básicos consistentes y útiles para seguimiento de operación o validación.,"No convertirlo en data warehouse, analítica predictiva ni tablero ejecutivo de alta complejidad.",,,
